slug	status	detail
AgentOps-AI-agentops-mcp	CONNECTED	OK
EenticE-scaffold	CONNECTED	OK
github	CONNECTED	OK
github-integration	CONNECTED	OK
Kastalien-Research-clear-thought-two	ERROR	fetch failed
ai-research-assistant	UNAUTHORIZED	OAuth needed
anirbanbasu-pymcp	UNAUTHORIZED	OAuth needed
atimevil-kali	UNAUTHORIZED	OAuth needed
bitbucket	CONNECTED	OK
blockscout	CONNECTED	OK
bright-data	UNAUTHORIZED	OAuth needed
browser-tool	UNAUTHORIZED	OAuth needed
browserbase	UNAUTHORIZED	OAuth needed
browserous-instant-browser-for-your-agent	UNAUTHORIZED	OAuth needed
clay	UNAUTHORIZED	OAuth needed
clickup	CONNECTED	OK
context7	CONNECTED	OK
coti	CONNECTED	OK
courtlistener-case-law-explorer	UNAUTHORIZED	OAuth needed
docfork	ERROR	500 down
dropbox	CONNECTED	OK
e2b-remote	UNAUTHORIZED	OAuth needed
edubase	UNAUTHORIZED	OAuth needed
exa	UNAUTHORIZED	OAuth needed
figstra-usewebhook-mcp	UNAUTHORIZED	OAuth needed
file-extractor	CONNECTED	OK
filesystem	UNAUTHORIZED	OAuth needed
flowengine-n8n-workflow-builder	UNAUTHORIZED	OAuth needed
flrngel-mcp-painter	CONNECTED	OK
gen-pdf	ERROR	500 down
google-docs	CONNECTED	OK
googlephotos	CONNECTED	OK
github	CONNECTED	OK
hi-ai	CONNECTED	OK
github-integration	UNAUTHORIZED	OAuth needed
infranodus-mcp-server-infranodus	UNAUTHORIZED	OAuth
google-docs	UNAUTHORIZED	OAuth needed
instagram	UNAUTHORIZED	OAuth
googlephotos	UNAUTHORIZED	OAuth needed
kiennd-reference-servers	UNAUTHORIZED	OAuth
hi-ai	UNAUTHORIZED	OAuth needed
letta-ai-memory-mcp	UNAUTHORIZED	OAuth
infranodus-mcp-server-infranodus	UNAUTHORIZED	OAuth needed
linear	UNAUTHORIZED	OAuth
instagram	UNAUTHORIZED	OAuth needed
linkup	UNAUTHORIZED	OAuth
kiennd-reference-servers	UNAUTHORIZED	OAuth needed
mem0-private	UNAUTHORIZED	OAuth
letta-ai-memory-mcp	UNAUTHORIZED	OAuth needed
